year,co2_on_p05_ppm,co2_on_p50_ppm,co2_on_p95_ppm,co2_off_p05_ppm,co2_off_p50_ppm,co2_off_p95_ppm,tas_on_p50_c,tas_off_p50_c
2140,318.83051724318904,322.53232577448034,325.2511397155954,391.04072001136296,409.4809935101456,421.02280933258345,1.3396661549662416,2.000140550301356
2141,318.1935971393202,321.83869787813956,324.53305314923665,390.89954870218526,409.3981472691517,421.0111691791144,1.3305548464821126,1.9893062236408243
2142,317.57517744634856,321.1399807413744,323.80026232853663,390.76215817218963,409.31572685773597,421.0020052124497,1.3377212484765155,1.994688217438866
2143,316.91963038765346,320.45198606793633,323.0931496639546,390.6338951672287,409.2373463209866,421.01111268367174,1.3166991753626023,1.997431490821685
2144,316.2775714150205,319.7635784409158,322.42483218458034,390.51169547349133,409.1641307643722,421.00889158089973,1.3178432538674423,2.004617214895984
2145,315.64620285017463,319.0638488247669,321.7577832852923,390.3949131905131,409.10322495092396,421.00801134413234,1.3257474850429767,2.0244561068024556
2146,314.9927195962695,318.38381900747527,321.07068584771963,390.27688937703033,409.02894890913575,421.0138593888248,1.32454802160015,2.031565322084124
2147,314.389218003362,317.70910934547896,320.4039599538471,390.1482936091668,408.9541795067315,421.0207850601416,1.305765971119425,2.0131929034398452
2148,313.73734975378625,317.03256645606484,319.7216691524449,390.0225046289774,408.888201411391,421.02186645758627,1.2955224761157094,2.016223594912409
2149,313.07290294850645,316.3604132387955,319.0476314525864,389.89927530261934,408.83679852497744,421.0260851480155,1.2976693290970491,2.0078427221358557
2150,312.4284806610659,315.680385445181,318.3727757515094,389.7784032116224,408.7754595636475,421.0303809031897,1.2800675168108073,2.006126702072736
2151,311.82466802636276,315.0209026776864,317.7270795023859,389.6600506904305,408.7083739108648,421.0415165041372,1.256280785757974,1.9950763314957827
2152,311.208823113848,314.35940488110043,317.07993776958233,389.5443556428467,408.64042130699215,421.052640278763,1.2639546180938477,1.985945984869063
2153,310.58035732284577,313.7197960089384,316.44474162876264,389.4483373814769,408.57436256577887,421.05321831942445,1.2748310299977506,2.0158000407057792
2154,310.02823134272717,313.06230356889847,315.77686629929127,389.3611030561465,408.5153429592983,421.06421004792355,1.2634828642879434,2.007126504582695
2155,309.60200997737496,312.6155514674147,315.3057801838526,389.28085739147934,408.4697125019261,421.05935901487805,1.2752497862894046,2.029256164400277
2156,309.21013708050754,312.1742286704877,314.86251879275267,389.19795994613503,408.4247340335959,421.06776045441393,1.2793991435488614,2.019787699568737
2157,308.85755415679927,311.84633188836415,314.50576394311446,389.1161141942011,408.35988135351215,421.0684235944251,1.2661154455278436,2.018946556831843
2158,308.9038820227695,311.89322693654157,314.5657274031965,389.0376934650206,408.28651885933107,421.07318520574694,1.2719811517053463,2.0352608767369746
2159,308.9222136582065,311.9273476001471,314.6052814760424,388.9690497109942,408.209424689328,421.06978684978174,1.260027630875699,2.030514666724203
2160,308.94937417459926,311.95454737836326,314.63409853671646,388.8961090915519,408.14662478196783,421.05561371363166,1.2394744373652378,2.0246004063549488
2161,308.9930567298081,312.00719763098823,314.67972274010776,388.8187570855678,408.0846938983044,421.02944809010364,1.2296278807267764,2.017306188383682
2162,309.0679722693627,312.0825532910606,314.7523725662651,388.74357269122777,408.0248571100566,421.01590328858265,1.225769052162351,2.005787244093066
2163,309.1676083322477,312.19141695562496,314.8591790651676,388.6777412407436,407.976365989255,420.9999049478283,1.2211355241761173,1.9973086560826858
2164,309.2398909567687,312.2620316414223,314.93912740498433,388.60287259870336,407.94566118422074,420.99349503729377,1.2375879235703315,2.0155866913292666
2165,309.23378295545547,312.2564786882802,314.93522534408174,388.5228147236402,407.9007525749252,420.9955481751035,1.2382628942697895,2.0175524406720466
2166,309.18149030131167,312.19521639926955,314.85743036673983,388.4492299655784,407.84772645170153,421.0069684017345,1.2474273672481995,2.023933293045642
2167,309.1602635693247,312.16429303601217,314.82095108343225,388.37787225694615,407.8229711655662,421.0105851646691,1.254278606959493,2.027799607254604
2168,309.0989088200485,312.1350135535085,314.75642588335046,388.3126486885021,407.76996427229176,421.0247391270948,1.2479490481653652,2.035152026333635
2169,309.054466450197,312.1034401230786,314.71850815691147,388.24909364739295,407.7284278843023,421.0569667857741,1.2412332700427888,2.0292853600922056
2170,309.04486940704106,312.07250060847025,314.68340120919777,388.18638461814794,407.71110839575863,421.07938067081983,1.2303023685238434,2.023565858356313
2171,309.01649019026394,312.02636463111736,314.6353517654651,388.11250315384973,407.6998584739012,421.07815401379247,1.2101701714394655,2.0074889779569647
2172,308.9613835059239,311.98638423894323,314.6064216473204,388.03387905173986,407.6643017808917,421.1189142991543,1.211615536447789,2.000251829444587
2173,308.9291870644619,311.952239523276,314.5721439678148,387.9618856506414,407.6225028155798,421.1537978972501,1.2186313804356477,2.0104162065576037
2174,308.93502316050365,311.923320406924,314.5384003520883,387.9016129598408,407.5867438612257,421.18969093010037,1.210505260365846,2.0065385485487646
2175,308.91254767705584,311.88076305002346,314.4957061399402,387.83278787862315,407.5416841104433,421.22612814539445,1.2096888326537976,2.0133275229161587
